Variable,Value
hover_throttle,0.5
deltaa_max,0.3491
deltae_max,0.3491
deltar_max,0.3491
s,0.839
b,1.68
c,0.499
CGOffset_x,-0.468
CGOffset_y,0
CGOffset_z,-0.015
Ixx,2.14
Iyy,8.732
Izz,10.72
Ixy,0
Ixz,0
Ixz,0
mcoeff,50
oswald,0.7
alpha_stall,0.3
c_lift_0,0.37
c_lift_u,0
c_lift_a,9.54
c_lift_q,17.785
c_lift_deltae,0.00851
c_drag_p,0.16
c_drag_u,0
c_drag_a,Equals K*CL^2 where CL changes with alpha
c_drag_q,0
c_drag_deltae,0
c_y_0,0
c_y_b,-0.1324
c_y_p,-0.0929
c_y_r,0.0747
c_y_deltaa,-0.00156
c_y_deltar,-0.000366
c_l_0,0
c_l_b,-0.152
c_l_p,-3.534
c_l_r,0.444
c_l_deltaa,0.0236
c_l_deltar,0
c_m_0,0
c_m_u,0
c_m_a,-2.977
c_m_q,-18.5
c_m_deltae,0.0255
c_n_0,0
c_n_b,0.0215
c_n_p,0.102
c_n_r,-0.055
c_n_deltaa,0.000413
c_n_deltar,0.000357
mass,23.27
c_drag_0,0.16
