delta_e,delta_t,delta_a,delta_r
0.5235987855490356,0.14800679961476476,0.0,0.0
0.3419947152267193,0.13311576199947367,0.0,0.0
0.23689198089359012,0.11386369309924164,0.0,0.0
0.28776078858664356,0.09999999016769072,0.0,0.0
0.32979184072311146,0.0999999901451122,0.0,0.0
0.3645436078349745,0.09999999012642118,0.0,0.0
0.3933064211813652,0.09999999011086262,0.0,0.0
0.41714658664545995,0.09999999009810452,0.0,0.0
0.43694522989114654,0.09999999008745966,0.0,0.0
0.4534304064442264,0.09999999007863963,0.0,0.0
0.46720364426734773,0.09999999007135721,1.0574219074225381e-16,1.9949597657623108e-16
-0.25270546960360346,0.09999999002368176,-5.998355281063032e-21,-7.96152857256181e-21
-0.055870466774647104,0.09999999006017882,1.0566472831806515e-16,1.993931353612089e-16
0.45548177693363384,0.09999999005595099,1.05714601570862e-16,1.994593486833501e-16
0.17673249382362785,0.0999999900523733,-3.9315126838211486e-21,-5.1961862050586e-21
0.37887348177988406,0.09999999001790565,1.0533783517335805e-16,1.9895958128018597e-16
0.12093982180638015,0.09999999004681048,2.0979042079337186e-16,3.96747456509589e-16
0.3255182618303253,0.09999999004470209,2.0974737806626934e-16,3.966910870436524e-16
0.0847940430185779,0.09999999004297264,1.0353437834191458e-16,1.9659713182174743e-16
0.288684643210892,0.09999999004151247,-4.1801140007742185e-19,-5.4969205916321705e-19
0.06204039876540961,0.09999999004032252,-9.192805973982935e-20,-1.218795261833325e-19
-0.19995568661623322,0.0999999900392595,1.0397578872754926e-16,1.972042275776423e-16
-0.5235987712620142,0.09999999003835194,1.0348094011960216e-16,1.9652160321185023e-16
-0.29669771030133174,0.09999999003779073,1.0507914775258776e-16,1.9863539940729954e-16
-0.05042441844070374,0.09999999003756098,2.102832862749703e-16,3.9740166186486605e-16
-0.09095488258342024,0.099999990037574,2.1111096450994397e-16,3.98497883116604e-16
-0.2574940051206023,0.09999999003765613,2.097104747840999e-16,3.966785133675396e-16
-0.3990701778247924,0.09999999003771533,2.1119288556282498e-16,3.986068316576278e-16
-0.4250486975088927,0.09999999003777711,2.893912818898479e-16,5.591087700806405e-16
-0.4319305661541345,0.09999999001374936,2.9766655656370907e-16,5.724056881139191e-16
-0.4305006745778749,0.09999999003807433,-4.969185276510818e-19,-6.550178948982897e-19
-0.424078727394353,0.09999999003829033,-4.309989479972201e-20,-5.692191147035843e-20
-0.39760977701744527,0.09999999001397683,-2.773134662619141e-19,-3.650568752610305e-19
-0.3619190688493536,0.09999999003881434,-8.855727218653357e-19,-1.142428007544924e-18
-0.3266774164465084,0.09999999003911719,-4.304899525051657e-19,-5.673742830700208e-19
-0.29392408716641283,0.09999999003945229,-6.177425541463711e-19,-8.148780492833649e-19
-0.25903729963310385,0.09999999003982238,-1.2300807323158305e-18,-1.595270130611839e-18
-0.22315851449607454,0.09999999004020017,-3.464167372262025e-19,-4.584881891527168e-19
