x,y,z,theta_dg,phi_dg,psi_dg
10.0,10.0,10.0,0.0,12.538055148066176,45.0
28.0,28.0,10.0,0.0,10.088123522711095,45.0
46.0,46.0,10.0,0.0,0.0,45.0
64.0,64.0,10.0,0.0,0.0,45.0
82.0,82.0,10.0,0.0,0.0,45.0
100.0,100.0,10.0,0.0,0.0,45.0
118.0,118.0,10.0,0.0,0.0,45.0
136.0,136.0,10.0,0.0,0.0,45.0
154.0,154.0,10.0,0.0,0.0,59.42077312751099
167.0,176.0,10.0,0.0,7.310112456972864,59.42077312751099
180.0,198.0,10.0,0.0,0.0,85.42607874009914
182.0,223.0,10.0,0.0,13.025360647195134,106.26020470831196
175.0,247.0,10.0,0.0,10.499686297014037,130.10090754621226
159.0,266.0,10.0,0.0,11.973811350212253,111.37062226934319
150.0,289.0,10.0,0.0,-9.459627109334422,85.42607874009914
152.0,314.0,10.0,0.0,-12.995960860451929,61.38954033403479
164.0,336.0,10.0,0.0,-12.06929559710375,36.86989764584402
184.0,351.0,10.0,0.0,-12.30455273916442,16.26020470831196
208.0,358.0,10.0,0.0,-10.389055575479164,16.26020470831196
232.0,365.0,10.0,0.0,0.0,26.56505117707799
254.0,376.0,10.0,0.0,5.2375774186948725,26.56505117707799
276.0,387.0,10.0,0.0,0.0,26.56505117707799
298.0,398.0,10.0,0.0,0.0,26.56505117707799
320.0,409.0,10.0,0.0,0.0,26.56505117707799
342.0,420.0,10.0,0.0,0.0,26.56505117707799
364.0,431.0,10.0,0.0,0.0,26.56505117707799
386.0,442.0,10.0,0.0,0.0,26.56505117707799
